NAME,median_household_income,median_home_value,state,year,mortgage_rate,hpi,real_income,price_to_income_ratio,monthly_income,monthly_payment_proxy,annual_tax_ins,monthly_piti,total_monthly_debt,total_dti,income_qualified,savings_capable,mortgage_eligible,homeowner_proxy
Alabama,59674,200900,1,2022,5.344038461538461,607.9425,16287.583333333334,3.366625330964909,4972.833333333333,896.8860306025971,3415.3,1181.4943639359303,1581.4943639359303,0.31802681850104175,1,1,0,0
Alaska,88121,336900,2,2022,5.344038461538461,607.9425,16287.583333333334,3.823152256556326,7343.416666666667,1504.0363549527872,5727.3,1981.3113549527873,2381.311354952787,0.3242783928851629,1,0,0,0
Arizona,74568,402800,4,2022,5.344038461538461,607.9425,16287.583333333334,5.401780924793477,6214.0,1798.2364018254161,6847.6,2368.8697351587493,2768.8697351587493,0.44558573143848557,0,0,0,0
Arkansas,55432,179800,5,2022,5.344038461538461,607.9425,16287.583333333334,3.2436137970847163,4619.333333333333,802.6884435159131,3056.6000000000004,1057.4051101825798,1457.4051101825798,0.3155011784202439,1,1,0,0
California,91551,715900,6,2022,5.344038461538461,607.9425,16287.583333333334,7.819685202783148,7629.25,3196.02145001692,12170.300000000001,4210.213116683587,4610.213116683587,0.6042813011349198,0,0,0,0
Colorado,89302,531100,8,2022,5.344038461538461,607.9425,16287.583333333334,5.947235224295088,7441.833333333333,2371.011303399897,9028.7,3123.4029700665637,3523.4029700665637,0.47345900025529963,0,0,0,0
Connecticut,88429,347200,9,2022,5.344038461538461,607.9425,16287.583333333334,3.926313765846046,7369.083333333333,1550.0190633410737,5902.400000000001,2041.8857300077404,2441.8857300077407,0.33136899388314794,1,0,0,0
Delaware,82174,337200,10,2022,5.344038461538461,607.9425,16287.583333333334,4.103487721177014,6847.833333333333,1505.375657138854,5732.400000000001,1983.075657138854,2383.075657138854,0.3480043308791862,1,0,0,0
District of Columbia,101027,711100,11,2022,5.344038461538461,607.9425,16287.583333333334,7.038712423411563,8418.916666666666,3174.5926150398545,12088.7,4181.984281706521,4581.984281706521,0.5442486798625937,0,0,0,0
Florida,69303,354100,12,2022,5.344038461538461,607.9425,16287.583333333334,5.10944692148969,5775.25,1580.8230136206053,6019.700000000001,2082.464680287272,2482.464680287272,0.4298454058763295,0,0,0,0
Georgia,72837,297400,13,2022,5.344038461538461,607.9425,16287.583333333334,4.083089638507901,6069.75,1327.6949004540188,5055.8,1749.0115671206854,2149.0115671206854,0.35405273151623795,1,0,0,0
Hawaii,92458,820100,15,2022,5.344038461538461,607.9425,16287.583333333334,8.869973393324537,7704.833333333333,3661.205742644051,13941.7,4823.014075977384,5223.014075977384,0.6778880022467348,0,0,0,0
Idaho,72785,432500,16,2022,5.344038461538461,607.9425,16287.583333333334,5.942158411760665,6065.416666666667,1930.827318246009,7352.500000000001,2543.5356515793424,2943.5356515793424,0.4852981770825322,0,0,0,0
Illinois,76708,251600,17,2022,5.344038461538461,607.9425,16287.583333333334,3.279970798352193,6392.333333333333,1123.2281000478517,4277.200000000001,1479.6614333811851,1879.6614333811851,0.2940493455777001,1,1,1,1
Indiana,66785,208700,18,2022,5.344038461538461,607.9425,16287.583333333334,3.124953208055701,5565.416666666667,931.7078874403286,3547.9,1227.366220773662,1627.366220773662,0.2924068974962034,1,1,1,1
Iowa,69588,194600,19,2022,5.344038461538461,607.9425,16287.583333333334,2.796459159625223,5799.0,868.7606846951985,3308.2000000000003,1144.444018028532,1544.444018028532,0.26632937024116776,1,1,1,1
Kansas,68925,206600,20,2022,5.344038461538461,607.9425,16287.583333333334,2.9974610083424014,5743.75,922.3327721378623,3512.2000000000003,1215.0161054711957,1615.0161054711957,0.281177994423712,1,1,1,1
Kentucky,59341,196300,21,2022,5.344038461538461,607.9425,16287.583333333334,3.307999528150857,4945.083333333333,876.3500637495758,3337.1000000000004,1154.4417304162425,1554.4417304162425,0.31434085649036775,1,1,0,0
Louisiana,55416,209200,22,2022,5.344038461538461,607.9425,16287.583333333334,3.775083008517396,4618.0,933.9400577504396,3556.4,1230.3067244171061,1630.3067244171061,0.3530330715498281,1,1,0,0
Maine,69543,290600,23,2022,5.344038461538461,607.9425,16287.583333333334,4.178709575370634,5795.25,1297.3373842365093,4940.200000000001,1709.0207175698426,2109.0207175698424,0.3639223014658285,1,0,0,0
Maryland,94991,398100,24,2022,5.344038461538461,607.9425,16287.583333333334,4.190923350633218,7915.916666666667,1777.2540009103727,6767.700000000001,2341.2290009103726,2741.2290009103726,0.3462933121129841,1,0,0,0
Massachusetts,94488,534700,25,2022,5.344038461538461,607.9425,16287.583333333334,5.658919651172636,7874.0,2387.082929632696,9089.900000000001,3144.574596299363,3544.574596299363,0.4501618740537672,0,0,0,0
Michigan,66986,224400,26,2022,5.344038461538461,607.9425,16287.583333333334,3.3499537216731854,5582.166666666667,1001.7980351778137,3814.8,1319.6980351778138,1719.6980351778138,0.30806999107475835,1,1,1,1
Minnesota,82338,314600,27,2022,5.344038461538461,607.9425,16287.583333333334,3.820836065971969,6861.5,1404.4815591218369,5348.200000000001,1850.1648924551703,2250.16489245517,0.32794066785034903,1,0,0,0
Mississippi,52719,162500,28,2022,5.344038461538461,607.9425,16287.583333333334,3.082380166543372,4393.25,725.4553507860727,2762.5,955.6636841194061,1355.663684119406,0.30857877064118955,1,1,1,1
Missouri,64811,221200,29,2022,5.344038461538461,607.9425,16287.583333333334,3.413000879480335,5400.916666666667,987.5121451931034,3760.4,1300.87881185977,1700.87881185977,0.31492409841411545,1,1,0,0
Montana,67631,366400,30,2022,5.344038461538461,607.9425,16287.583333333334,5.417633925270955,5635.916666666667,1635.7344032493359,6228.8,2154.8010699160027,2554.8010699160027,0.4533071053066202,0,0,0,0
Nebraska,69597,232400,31,2022,5.344038461538461,607.9425,16287.583333333334,3.339224391855971,5799.75,1037.5127601395895,3950.8,1366.746093472923,1766.746093472923,0.3046245257938571,1,1,1,1
Nevada,72333,434700,32,2022,5.344038461538461,607.9425,16287.583333333334,6.009705113848451,6027.75,1940.6488676104973,7389.900000000001,2556.473867610497,2956.473867610497,0.4904771876090576,0,0,0,0
New Hampshire,89992,384700,33,2022,5.344038461538461,607.9425,16287.583333333334,4.274824428838119,7499.333333333333,1717.4318365993981,6539.900000000001,2262.423503266065,2662.423503266065,0.35502135788950995,1,0,0,0
New Jersey,96346,428900,34,2022,5.344038461538461,607.9425,16287.583333333334,4.451663795071928,8028.833333333333,1914.75569201321,7291.3,2522.3640253465433,2922.3640253465433,0.36398364544618894,1,0,0,0
New Mexico,59726,243100,35,2022,5.344038461538461,607.9425,16287.583333333334,4.070254160667046,4977.166666666667,1085.2812047759649,4132.700000000001,1429.6728714426315,1829.6728714426315,0.3676133418831259,1,0,0,0
New York,79557,400400,36,2022,5.344038461538461,607.9425,16287.583333333334,5.032869514938975,6629.75,1787.5219843368834,6806.8,2354.7553176702168,2754.7553176702168,0.415514207574979,0,0,0,0
North Carolina,67481,280600,37,2022,5.344038461538461,607.9425,16287.583333333334,4.158207495443162,5623.416666666667,1252.6939780342893,4770.200000000001,1650.210644700956,2050.210644700956,0.3645845161810209,1,0,0,0
North Dakota,71970,243100,38,2022,5.344038461538461,607.9425,16287.583333333334,3.377796304015562,5997.5,1085.2812047759649,4132.700000000001,1429.6728714426315,1829.6728714426315,0.30507259215383603,1,1,1,1
Ohio,65720,204100,39,2022,5.344038461538461,607.9425,16287.583333333334,3.1055995130858185,5476.666666666667,911.1719205873075,3469.7000000000003,1200.3135872539742,1600.3135872539742,0.29220576760571654,1,1,1,1
Oklahoma,59673,191700,40,2022,5.344038461538461,607.9425,16287.583333333334,3.2125081695239053,4972.75,855.8140968965548,3258.9,1127.3890968965547,1527.3890968965547,0.3071517966711688,1,1,1,1
Oregon,75657,475600,41,2022,5.344038461538461,607.9425,16287.583333333334,6.286265646271991,6304.75,2123.2403989775767,8085.200000000001,2797.0070656442435,3197.0070656442435,0.5070791174343541,0,0,0,0
Pennsylvania,71798,245500,42,2022,5.344038461538461,607.9425,16287.583333333334,3.4193153012618738,5983.166666666667,1095.9956222644976,4173.5,1443.7872889311643,1843.7872889311643,0.3081624483575304,1,1,1,1
Rhode Island,81854,383900,44,2022,5.344038461538461,607.9425,16287.583333333334,4.6900579079825055,6821.166666666667,1713.8603641032205,6526.3,2257.718697436554,2657.718697436554,0.38962817173551256,1,0,0,0
South Carolina,64115,254600,45,2022,5.344038461538461,607.9425,16287.583333333334,3.9709896280121657,5342.916666666667,1136.6211219085178,4328.200000000001,1497.3044552418512,1897.3044552418512,0.35510650335962274,1,0,0,0
South Dakota,69728,245000,46,2022,5.344038461538461,607.9425,16287.583333333334,3.513653051858651,5810.666666666667,1093.7634519543867,4165.0,1440.84678528772,1840.84678528772,0.3168047473533249,1,1,0,0
Tennessee,65254,284800,47,2022,5.344038461538461,607.9425,16287.583333333334,4.364483403316272,5437.833333333333,1271.4442086392216,4841.6,1674.9108753058883,2074.910875305888,0.38156941342554723,1,0,0,0
Texas,72284,275400,48,2022,5.344038461538461,607.9425,16287.583333333334,3.8099717779868296,6023.666666666667,1229.479406809135,4681.8,1619.6294068091352,2019.6294068091352,0.3352823983413981,1,0,0,0
Utah,89168,499500,49,2022,5.344038461538461,607.9425,16287.583333333334,5.60178539386327,7430.666666666667,2229.9381398008823,8491.5,2937.5631398008823,3337.5631398008823,0.4491606594025949,0,0,0,0
Vermont,73991,304700,50,2022,5.344038461538461,607.9425,16287.583333333334,4.118068413725994,6165.916666666667,1360.2845869816392,5179.900000000001,1791.9429203149725,2191.9429203149725,0.3554934389828448,1,0,0,0
Virginia,85873,365700,51,2022,5.344038461538461,607.9425,16287.583333333334,4.258614465547961,7156.083333333333,1632.6093648151805,6216.900000000001,2150.6843648151807,2550.6843648151807,0.35643581076452635,1,0,0,0
Washington,91306,569500,53,2022,5.344038461538461,607.9425,16287.583333333334,6.237268087529845,7608.833333333333,2542.4419832164212,9681.5,3349.2336498830878,3749.2336498830878,0.492747506172618,0,0,0,0
West Virginia,54329,155100,54,2022,5.344038461538461,607.9425,16287.583333333334,2.854828912735372,4527.416666666667,692.4192301964301,2636.7000000000003,912.1442301964302,1312.1442301964303,0.2898218403128562,1,1,1,1
Wisconsin,70996,252800,55,2022,5.344038461538461,607.9425,16287.583333333334,3.5607639867034764,5916.333333333333,1128.585308792118,4297.6,1486.7186421254514,1886.7186421254514,0.31889999021783505,1,1,0,0
Wyoming,70042,292300,56,2022,5.344038461538461,607.9425,16287.583333333334,4.1732103594985865,5836.833333333333,1304.9267632908866,4969.1,1719.0184299575533,2119.018429957553,0.3630424767923623,1,0,0,0
Puerto Rico,24112,122200,72,2022,5.344038461538461,607.9425,16287.583333333334,5.068015925680159,2009.3333333333333,545.5424237911267,2077.4,718.6590904577934,1118.6590904577934,0.5567314650586231,0,0,0,0
